f,z10r,z10i
1.02250225022501e+05,-4.41813749349459e-01,8.21784137004123e-03
1.02260226022601e+05,-4.11619144902986e-01,-5.26823324905000e-01
1.02270227022701e+05,-3.84484982397442e-01,-1.02595084526398e+00
1.02280228022801e+05,-3.60011669627883e-01,-1.49273733539213e+00
1.02290229022901e+05,-3.37862752060293e-01,-1.93029739409508e+00
1.02300230023001e+05,-3.17753311954433e-01,-2.34135868498987e+00
1.02310231023101e+05,-2.99440779709515e-01,-2.72832018659430e+00
1.02320232023201e+05,-2.82717600875023e-01,-3.09330023280955e+00
1.02330233023301e+05,-2.67405342647596e-01,-3.43817637117272e+00
1.02340234023401e+05,-2.53349925794238e-01,-3.76461861906598e+00
1.02350235023501e+05,-2.40417742964038e-01,-4.07411735883173e+00
1.02360236023601e+05,-2.28492479979353e-01,-4.36800685325163e+00
1.02370237023701e+05,-2.17472498306702e-01,-4.64748516283049e+00
1.02380238023801e+05,-2.07268668289017e-01,-4.91363109098728e+00
1.02390239023901e+05,-1.97802566570823e-01,-5.16741866183464e+00
1.02400240024001e+05,-1.89004969410764e-01,-5.40972953961908e+00
1.02410241024101e+05,-1.80814587654818e-01,-5.64136372322787e+00
1.02420242024201e+05,-1.73177000072381e-01,-5.86304878884644e+00
1.02430243024301e+05,-1.66043750291696e-01,-6.07544790556148e+00
1.02440244024401e+05,-1.59371579277328e-01,-6.27916680979406e+00
1.02450245024501e+05,-1.53121770591417e-01,-6.47475989295222e+00
1.02460246024601e+05,-1.47259589890005e-01,-6.66273553109026e+00
1.02470247024701e+05,-1.41753803468490e-01,-6.84356076441243e+00
1.02480248024801e+05,-1.36576263368373e-01,-7.01766541728754e+00
1.02490249024901e+05,-1.31701548733662e-01,-7.18544573527447e+00
1.02500250025001e+05,-1.27106654868031e-01,-7.34726760393878e+00
1.02510251025101e+05,-1.22770722878323e-01,-7.50346940449100e+00
1.02520252025201e+05,-1.18674803961430e-01,-7.65436455316760e+00
1.02530253025301e+05,-1.14801653353053e-01,-7.80024376446736e+00
1.02540254025401e+05,-1.11135549748364e-01,-7.94137707264677e+00
1.02550255025501e+05,-1.07662136658745e-01,-8.07801564106891e+00
1.02560256025601e+05,-1.04368282711568e-01,-8.21039338492871e+00
1.02570257025701e+05,-1.01241958351552e-01,-8.33872842943102e+00
1.02580258025801e+05,-9.82721267796403e-02,-8.46322442255798e+00
1.02590259025901e+05,-9.54486472810406e-02,-8.58407171907074e+00
1.02600260026001e+05,-9.27621893599901e-02,-8.70144845023709e+00
1.02610261026101e+05,-9.02041563224342e-02,-8.81552149194844e+00
1.02620262026201e+05,-8.77666171369716e-02,-8.92644734231433e+00
1.02630263026301e+05,-8.54422455650246e-02,-9.03437291845215e+00
1.02640264026401e+05,-8.32242656872891e-02,-9.13943628102351e+00
1.02650265026501e+05,-8.11064030697803e-02,-9.24176729404697e+00
1.02660266026601e+05,-7.90828409120065e-02,-9.34148822663346e+00
1.02670267026701e+05,-7.71481806047929e-02,-9.43871430252223e+00
1.02680268026801e+05,-7.52974061982152e-02,-9.53355420262535e+00
1.02690269026901e+05,-7.35258523428688e-02,-9.62611052520396e+00
1.02700270027001e+05,-7.18291753218721e-02,-9.71648020778452e+00
1.02710271027101e+05,-7.02033268377108e-02,-9.80475491447699e+00
1.02720272027201e+05,-6.86445302585519e-02,-9.89102139196213e+00
1.02730273027301e+05,-6.71492590638812e-02,-9.97536179706258e+00
1.02740274027401e+05,-6.57142172597386e-02,-1.00578539985145e+01
1.02750275027501e+05,-6.43363215606230e-02,-1.01385718552760e+01
1.02760276027601e+05,-6.30126851582456e-02,-1.02175854734756e+01
